Anton, Teodor
Svidler, Peter
Hamdouchi, Hicham
Riff, Jean-Noel
Lukacs, Peter
Nestorovic, Dejan
Froewis,G
Szelag, Marcin
Ioseliani, Nana
Perez Gormaz, Matias
Gharamian, Tigran
Kukov, Velislav
Sveshnikov, Evgeny
Aleksandrov, Aleksej
Gormally, Daniel W
San Segundo Carrillo, Pablo
Adamski, Andrzej
Rapport, Richard
Benko, Pal
Lutz,C
Tazbir, Marcin
Botvinnik, M.
Fominyh, A.
Strikovic,A
Perez Mitjans, Orelvis
Salimova, Nurgyul
Chatalbashev, Boris
Ziatdinov, Raset
Georgescu, Tiberiu-Marian
Fahnenschmidt, Gerhard
Iljushin, Alexei
Nepomniachtchi, Ian
Ochsner, Thomas
Stefansson,H
Llobell Cortell, Enrique
Dubov,Daniil
Jacobsen, Bo
Guerra Mendez, Jose Angel
Borriss, Martin, Dr.
Nestorovic, Nikola
Kiremitciyan, Ari
Giessmann, Stephan
Sargsyan, Shant
Garcia Castro, Pablo
Estrin, Yakov
Abasov, Nijat
Werchan, Hans, Dr.
Domingo Nunez, Alejandro
Gallardo Garcia, Andres
Petrosian, T.
Liberzon, Vladimir M
Savchenko, Stanislav
Kuegel, Tobias
Godena, Michele
Sedlak, Nikola
Rios Parra, Alejandro
Csom, Istvan
Kavalek, Lubomir
Jakobsen, Ole
Sahl, Bjarke
Short, Nigel D
Mamedov, Rauf
Munoz, Miguel
Dubiel, Jacek
Engqvist, Thomas
Garcia Fernandez, Carlos
Panchenko, Alexandar G
Narayanan S L
Savon, Vladimir A
Rausis, Igors
Balog, Imre1
Klovans, Janis
Quinn, Mark
Juergens, Vera
Zaitsev, I.
Relange, Eloi
Abramovic, Bosko
Saltaev, Mihail
Pavasovic, Dusko
Nicoara, Malina
Kharitonov, A.
Chepukaitis, Genrikh
Hausner, Ivan
Bellin, Robert
Kortschnoj, Viktor Lvovich
Gipslis, Aivars
Meulner, Klaus
Langheinrich, Ferenc
Paehtz, Elisabeth
Zaichik, Gennadi
Bellon Lopez, J.
Grabarczyk, Miroslaw
Akopian, Vladimir
Acs,P
Bitalzadeh, Ali
Kulaots, Kaido
Barczay, Laszlo
Timoscenko, Gennadij
Solak, Dragan
Pirc, Vasja
Sax, Gyula
Doroshkievich, Vladimir K
Zajic, Milan
Firouzja, Alireza
Nikolic, Predrag
Horvath, J.
Gasthofer, Viktor
Ghitescu, Theodor
Spraggett, Kevin
Sadvakasov, Darmen
Petursson, Margeir
Adhiban, B.
Kuba, Guenter
Mohr, Georg
Landau, Salo
Howell, David W L
Kasparov, G.
Bertok, Mario
Kolosowski, Mateusz
Geller, Efim P
Hellers, Ferdinand
Lu, Shanglei
Navara, David
Roemhild, Marcus
Arakhamia-Grant, Ketevan
Donchenko, Anatoly
Kolbak, Jens
Korneev, Oleg
Hamann, Svend
Borges Matos, Juan
Drazic, Sinisa
Lillo Castany, Victor
Flohr, Salo
Hausrath, Daniel
Olafsson, Fridrik
Breutigam, Martin
Larsen, B.
Bunzmann, Dimitrij
Dunkelblum, Arthur
Lauber, Arnd
Kosic, Dragan
Averbakh, Yuri L
Peptan, Corina-Isabela
Alvarado Diaz, Alejandro
Brunner, Lucas
Bazeev, German
Ree, Hans
Mortensen, E.
Felgaer, Ruben
Akesson, R.
Tiviakov, Sergei
Sethuraman,S
Hoffman, Alejandro
Kunze, Carlo
Cruz, Jonathan
Sorokin, M.
Bruned, Yvain
Rojas Keim, Luis
Docekal, Jan
Bischoff, K.
Movsesian, Sergei
Yusupov, A.
Cvitan, Ognjen
Seel,C
Oratovsky, Michael
Timman, Jan H
Kagan, Shimon
Kuijpers, Frans
Ding, Liren
Legky, Nikolay A
Hund, Barbara
Cmilyte, Viktorija
Khismatullin, Denis
Chernin, Alexander
Zufic, Miroslav
Van Dael, Siem
Keymer, Vincent
Karlsson, L.
Avrukh, Boris
Sigurjonsson, Gudmundur
Balashov, Yuri S
Ye, Jiangchuan
Barrientos Chavarriaga, Sergio E
Hrbek, Stepan
Dao, Thien Hai
Artemiev, Vladislav
Leon Hoyos, Manuel
Margolin, Boris
Alsina Leal, Daniel
Naiditsch, Arkadij
Berkovich, Mark A
Jacobsen, Mikkel Manosri
Gligoric, S.
Wahjuwidajat, Utut Adianto
Audi Ameya
Saric, Ivan
Sanikidze, Tornike
Duppel, Tina
Dautov,R
Giardelli, Sergio C.
Heinz, Axel
Galojan, Lilit
Bregadze, Levan
Haba, Petr
Gual Pascual, Antonio
Bluebaum, Matthias
Avila Pavas, Santiago
Zukertort, Johannes
Bryakin, Mikhail
Campos Moreno, Javier B.
Tischbierek, Raj
Chueca Forcen, Alberto
Meinhardt, Maximilian
Galliamova, Alisa
Hansen, S.
Chakravarthi Reddy, M
Galyas, Miklos
Stangl, Markus
Montoliu Cervero, Francisco
Nazari, Arad
Alcazar Jimenez, Victor
Yu, Yangyi
Rogic, Davor
Vidit,S
Lucas, Arthur
Gallagher, Joseph G.
Sambuev, Bator
Jonkman, Harmen
Toth, Bela
Berry, J.
Kovalyov,A
Dlugy, Maxim
Becking, Stephan
Wojtaszek, Radoslaw
Wang, Hao
Getz, Nicolai
Hickl, Joerg
Galkin,A
Hazai, Laszlo Dr.
Bindrich, Falko
Degerman, Lars
Lautier, Joel
Gempe, Thomas
NN
Serper, Grigory
Kalashian, David
Predojevic, Borki
Armas, Jules
Michiels, Bart
Cori, Jorge
Malich, Burkhard, Dr.
Garriga Cazorla, Pere
Sznapik, Aleksander
Berescu, Alin-Mile
Razuvaev, Yuri S
Maiwald, Jens-Uwe
Jovanovic, Zoran
Bologan, Victor
Kovacevic, Slobodan
Tarrasch, Siegbert
Akesson, Ralf
Schaufelberger, Heinz
Bagirov, Vladimir
Deviatkin, Andrei
Heinemann, Thies
Kostro, Jerzy
Rozum,I
Van Oosterom,C
Etmans, Maarten
Bobotsov, Milko G
Cruz,F
Narciso Dublan, Marc
Iturrizaga Bonelli, Eduardo
El Gindy, Essam
Bagheri,A
Nemet, Ivan
Schlosser, Philipp
Arkell, Keith C
Garcia Gonzales, Guillermo
Lebredo Zaragoitia, Gerardo
Shirov, Alexei
Iotov, Valentin
Baumbach, Friedrich, Dr.
Izoria, Zviad
Matlakov, Maxim
Silva Lucena, Cristian
Kabatianski, Alexander
Arencibia Rodriguez, Walter
Mchedlishvili, Mikheil
Pinter, J.
Harikrishna, Pentala
Gelashvili, Tamaz
Ribli, Zoltan
Petrosian, A.
Hort, Vlastimil
Volokitin, Andrei
Degraeve, Jean-Marc
Goossens, Etienne
Janosevic, Dragoljub
Haslinger, Stewart G
Lomasov, Semyon
Romanov, Evgeny
Fries-Nielsen, Jens Ove
Csonka, Balazs
Meessen, Rudolf
Leko, Peter
Kryvoruchko, Yuriy
Lindberg, Bo
Bricard, Emmanuel
Matanovic, Aleksandar
Shchekachev, Andrei
Jankovic,A
Browne, Walter S
Kurajica, Bojan
Brustkern, Juergen
Zueger, Beat
Brankovic, Dejan
Flores, Diego
Gurevich,M
Bronstein, David I
Koller, Jens
Ogaard, Leif
Liebert, Heinz
Nguyen, Ngoc Truong Son
Christiansen, Larry
Al-Mudahka, Mohd
Petrisor, Adrian-Marian
Popchev, Milko
Suba, M.
Martinez Alcantara, Jose Eduardo
Vogt, Lothar
Gagunashvili, Merab
Tikkanen, Hans
Petschar, Kurt
Handke, Florian, Dr.
Hansen, Curt
Klenburg, Michael
Hansen, Lars Bo
Gutman,L
Camarena Jimenez, Rufino
Kalinitschew, Sergey
Van Wely, Loek
Popovic,Du
Kupreichik, Viktor D
Belouadah, Saad
Shipov, Sergei
Salem, A.R. Saleh
Roiz, Michael
Fier, Alexandr
Topalov, Veselin
Huebner, Robert
Pogorelov, Ruslan
Panjwani, Raja
Vescovi, Giovanni
Richter
Vyzmanavin, Alexey
Ernst, Sipke
Smejkal, J.
Berkes, Ferenc
Seger, Ruediger
Rogers, Ian
Gutman, L.
Panchenko, A.
Thiede, Lars
Spielmann, Rudolf
Schroer, Marcel
Hobusch, Werner
Lein, Anatoly
Lutz, Christopher
Trzaska, Peter
Kveinys, Aloyzas
Sokolov, Andrei
Piesina, Gintautas
Magem Badals, Jordi
Alonso Rosell, Alvar
Lamorelle, Julien
Karpov, A.
Kasparov, Garry
Stern, Rene
Pigusov, Evgeny
Bruzon Batista, Lazaro
Donchenko, Alexander
Chandler, Murray G
Hulak, Krunoslav
Lanka, Zigurds
Preotu, Razvan
Urban, Klaudiusz
Hennings, Artur
Ponomariov, Ruslan
Gustafsson, Jan
Sprenger, Jan Michael, Dr.
Hendriks, Willy
Kabisch, Thilo
Ulybin, Mikhail
Krensing, Jan
Bangiev, Alexander
Kharlov, Andrei
Rios Gomez, Cristhian Camilo
Sutovsky, Emil
Vukic, Milan
Zorko, Jure
Vazquez Igarza, Renier
Kovacevic,A
Durao, Joaquim
Fressinet, Laurent
Sieglen, Joachim, Dr.
Braun,A
Gurevich, Mikhail
Nalbandian, Tigran
Maroczy, Geza
Ivanovic, Bozidar
Radjabov, Teimour
Garcia Romero, Benjamin Abel
Vega Gutierrez, Sabrina
Zysk, Robert
Karjakin, Sergey
Kryakvin, Dmitry
