Kupreichik, Viktor D
Keres, Paul
Tal, Mikhail
Klovans, Janis
Ciric, Dragoljub M
Cseshkovsky, Vitaly
Geller, Efim P
Kasparov, Garry
Osnos, Viatcheslav
Boensch, Uwe
Gipslis, Aivars
Gurgenidze, Bukhuti
Petrosian
Petrosian, A.
Timman, Jan H
Ftacnik, Lubomir
Larsen, Bent
Portisch, Lajos
Donchenko, Anatoly
Kengis, Edvins
Westerinen, Heikki M.J.
Averbakh, Yuri L
Smejkal, J.
Tukmakov, Vladimir B
Garcia
Romanishin, Oleg M
Kholmov, Ratmir D
Matanovic, Aleksandar
Korchnoi, Viktor
Bagirov, Vladimir
Bellon Lopez, J.
Lobron, Eric
Walther, Edgar
Bronstein, David I
Kochyev, Alexander
Polugaevsky, Lev
Ciocaltea, Victor
Beliavsky, Alexander G
Taimanov, Mark E
Spassky, Boris V.
Smyslov
Ivkov, Borislav
Karpov, Anatoly
Short, Nigel D
Unzicker, Wolfgang
Kavalek, Lubomir
Parma, Bruno
Sokolov, Ivan
Ribli, Zoltan
Fischer
Polgar, Judit
Bauer, Christian
Chiburdanidze, Maia
Gormally, Daniel W
Santo-Roman, Marc
Cramling, Pia
Panno, Oscar
Shirov, Alexei
Purdy, Cecil J S
Jenni, Florian
Miles, Anthony J
Yusupov, A.
Van Wely, Loek
Schmaltz, Roland
Yermolinsky, Alex
Kramnik, Vladimir
Yuferov, Sergey N
Svidler, Peter
Reinderman, Dimitri
Nataf, Igor-Alexandre
Bareev, Evgeny
Topalov, Veselin
Anand, Viswanathan
Magerramov, Elmar
Leko, Peter
Vladimirov, Yevgeniy
Seirawan, Yasser
Akopian, Vladimir
Van der Wiel, John T.H.
Ivanchuk, Vasyl
Schlosser, Philipp
Chandler, Murray G
Dlugy, Maxim
Piket, Jeroen
Psakhis, Lev
Sturua, Zurab
Kharitonov, A.
Hertneck, Gerald
Giardelli, Sergio C.
Lanka, Zigurds
Yurtaev, Leonid
Huebner, Robert
Kagan, Shimon
Ehlvest, Jaan
Dvoirys, Semen I.
Graf, Alexander
Adorjan, A.
Tempone, Marcelo
Landa, Konstantin
Pinter, J.
Azmaiparashvili, Zurab
Carlsen, Magnus
Georgiev, Kiril
Ponomariov, Ruslan
Almasi, Zoltan
So, Wesley
Giri, Anish
Nielsen, Peter Heine
Istratescu, Andrei
Ragger, Markus
Bluebaum, Matthias
Jones,G
Caruana, Fabiano
Gelfand, Boris
Fedoseev, Vladimir
Nakamura, Hikaru
Galego, Luis
Bruzon Batista, Lazaro
Sethuraman,S
